Posted Date,Description,Amount,Balance
4/17/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
4/17/2026,"CVS/PHARMACY #09812 FOLSOM CA",-44.33,
4/17/2026,"TARGET 00021456 SACRAMENTO CA",-102.73,
4/18/2026,"TRADER JOES #178 SACRAMENTO CA",-28.43,
4/19/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-11.98,
4/20/2026,"CHIPOTLE 0421 FOLSOM CA",-13.87,
4/20/2026,"SAFEWAY #1234 ROSEVILLE CA",-120.95,
4/21/2026,"T-MOBILE POSTPAID 800-937-8997",-45.00,
4/22/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-10.73,
4/23/2026,"TARGET 00021456 SACRAMENTO CA",-135.58,
4/24/2026,"CHIPOTLE 0421 FOLSOM CA",-21.34,
4/24/2026,"SAFEWAY #1234 ROSEVILLE CA",-64.21,
4/25/2026,"TARGET 00021456 SACRAMENTO CA",-52.57,
4/26/2026,"SAFEWAY #1234 ROSEVILLE CA",-91.96,
4/27/2026,"TARGET 00021456 SACRAMENTO CA",-122.43,
4/27/2026,"DOORDASH*THAI BASIL 855-431-0459",-26.51,
4/28/2026,"CVS/PHARMACY #09812 FOLSOM CA",-15.25,
4/28/2026,"DOORDASH*THAI BASIL 855-431-0459",-28.73,
4/29/2026,"CHEVRON 0093749 FOLSOM CA",-31.08,
4/30/2026,"CVS/PHARMACY #09812 FOLSOM CA",-20.53,
5/1/2026,"RENT PAYMENT PROPERTY MGMT LLC",-1850.00,
5/1/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
5/1/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-135.17,
5/2/2026,"NETFLIX.COM 866-579-7172 CA",-22.99,
5/3/2026,"SAFEWAY #1234 ROSEVILLE CA",-64.25,
5/3/2026,"SAFEWAY #1234 ROSEVILLE CA",-121.01,
5/4/2026,"DOORDASH*THAI BASIL 855-431-0459",-26.20,
5/4/2026,"CHIPOTLE 0421 FOLSOM CA",-10.36,
5/5/2026,"TRADER JOES #178 SACRAMENTO CA",-49.90,
5/6/2026,"CVS/PHARMACY #09812 FOLSOM CA",-30.04,
5/7/2026,"SPOTIFY USA 877-778-1161 NY",-11.99,
5/7/2026,"CHIPOTLE 0421 FOLSOM CA",-20.96,
5/8/2026,"SAFEWAY #1234 ROSEVILLE CA",-108.14,
5/9/2026,"SMUD ONLINE PMT",-137.00,
5/9/2026,"DOORDASH*THAI BASIL 855-431-0459",-24.32,
5/10/2026,"TARGET 00021456 SACRAMENTO CA",-95.44,
5/10/2026,"CHEVRON 0093749 FOLSOM CA",-47.54,
5/11/2026,"SAFEWAY #1234 ROSEVILLE CA",-69.64,
5/12/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-11.90,
5/13/2026,"ADOBE SYSTEMS 408-536-6000 CA",-59.99,
5/13/2026,"SAFEWAY #1234 ROSEVILLE CA",-125.80,
5/13/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-112.02,
5/14/2026,"PLANET FITNESS 8446807300 NH",-24.99,
5/14/2026,"SAFEWAY #1234 ROSEVILLE CA",-114.82,
5/15/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
5/15/2026,"DOORDASH*THAI BASIL 855-431-0459",-41.81,
5/15/2026,"DOORDASH*THAI BASIL 855-431-0459",-30.47,
5/16/2026,"TRANSFER TO SAVINGS ****8890",-400.00,
5/16/2026,"CHEVRON 0093749 FOLSOM CA",-32.84,
5/17/2026,"TARGET 00021456 SACRAMENTO CA",-80.96,
5/17/2026,"SAFEWAY #1234 ROSEVILLE CA",-48.17,
5/18/2026,"CHEVRON 0093749 FOLSOM CA",-69.92,
5/19/2026,"COMCAST XFINITY 800-266-2278",-89.00,
5/19/2026,"CVS/PHARMACY #09812 FOLSOM CA",-56.65,
5/20/2026,"CHEVRON 0093749 FOLSOM CA",-49.35,
5/20/2026,"CHEVRON 0093749 FOLSOM CA",-39.73,
5/21/2026,"T-MOBILE POSTPAID 800-937-8997",-45.00,
5/21/2026,"SAFEWAY #1234 ROSEVILLE CA",-69.86,
5/22/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-9.62,
5/22/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-9.66,
5/23/2026,"SAFEWAY #1234 ROSEVILLE CA",-89.16,
5/23/2026,"TARGET 00021456 SACRAMENTO CA",-96.99,
5/24/2026,"TARGET 00021456 SACRAMENTO CA",-132.72,
5/25/2026,"SAFEWAY #1234 ROSEVILLE CA",-61.89,
5/26/2026,"CHEVRON 0093749 FOLSOM CA",-40.13,
5/27/2026,"SAFEWAY #1234 ROSEVILLE CA",-57.99,
5/27/2026,"CHIPOTLE 0421 FOLSOM CA",-9.84,
5/28/2026,"DOORDASH*THAI BASIL 855-431-0459",-20.65,
5/28/2026,"TARGET 00021456 SACRAMENTO CA",-43.23,
5/29/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
5/29/2026,"CHIPOTLE 0421 FOLSOM CA",-19.44,
5/29/2026,"CHIPOTLE 0421 FOLSOM CA",-22.16,
5/30/2026,"CHIPOTLE 0421 FOLSOM CA",-14.93,
5/30/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-145.01,
5/31/2026,"SAFEWAY #1234 ROSEVILLE CA",-46.56,
5/31/2026,"CVS/PHARMACY #09812 FOLSOM CA",-36.97,
6/1/2026,"RENT PAYMENT PROPERTY MGMT LLC",-1850.00,
6/2/2026,"NETFLIX.COM 866-579-7172 CA",-22.99,
6/3/2026,"CHIPOTLE 0421 FOLSOM CA",-16.61,
6/3/2026,"SAFEWAY #1234 ROSEVILLE CA",-82.57,
6/4/2026,"DOORDASH*THAI BASIL 855-431-0459",-42.96,
6/4/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-16.03,
6/5/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-5.30,
6/5/2026,"TRADER JOES #178 SACRAMENTO CA",-26.28,
6/6/2026,"TARGET 00021456 SACRAMENTO CA",-29.15,
6/7/2026,"SPOTIFY USA 877-778-1161 NY",-11.99,
6/7/2026,"TARGET 00021456 SACRAMENTO CA",-35.62,
6/8/2026,"SAFEWAY #1234 ROSEVILLE CA",-53.11,
6/9/2026,"SMUD ONLINE PMT",-154.00,
6/9/2026,"CHIPOTLE 0421 FOLSOM CA",-16.23,
6/9/2026,"TARGET 00021456 SACRAMENTO CA",-65.74,
6/11/2026,"ADOBE SYSTEMS 408-536-6000 CA",-59.99,
6/11/2026,"SAFEWAY #1234 ROSEVILLE CA",-44.05,
6/11/2026,"SAFEWAY #1234 ROSEVILLE CA",-71.84,
6/12/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
6/12/2026,"TRADER JOES #178 SACRAMENTO CA",-77.23,
6/13/2026,"SAFEWAY #1234 ROSEVILLE CA",-65.05,
6/13/2026,"CHIPOTLE 0421 FOLSOM CA",-22.71,
6/14/2026,"PLANET FITNESS 8446807300 NH",-24.99,
6/14/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-155.21,
6/15/2026,"DOORDASH*THAI BASIL 855-431-0459",-22.62,
6/16/2026,"TRANSFER TO SAVINGS ****8890",-400.00,
6/16/2026,"CVS/PHARMACY #09812 FOLSOM CA",-35.22,
6/16/2026,"TARGET 00021456 SACRAMENTO CA",-56.54,
6/17/2026,"COMCAST XFINITY 800-266-2278",-89.00,
6/17/2026,"CVS/PHARMACY #09812 FOLSOM CA",-11.50,
6/17/2026,"SAFEWAY #1234 ROSEVILLE CA",-87.91,
6/18/2026,"CHIPOTLE 0421 FOLSOM CA",-12.72,
6/19/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-8.60,
6/19/2026,"CHIPOTLE 0421 FOLSOM CA",-13.53,
6/20/2026,"CHEVRON 0093749 FOLSOM CA",-34.47,
6/21/2026,"T-MOBILE POSTPAID 800-937-8997",-45.00,
6/21/2026,"DOORDASH*THAI BASIL 855-431-0459",-19.86,
6/21/2026,"DOORDASH*THAI BASIL 855-431-0459",-50.02,
6/22/2026,"CHIPOTLE 0421 FOLSOM CA",-10.88,
6/22/2026,"CVS/PHARMACY #09812 FOLSOM CA",-40.49,
6/23/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-84.54,
6/23/2026,"CVS/PHARMACY #09812 FOLSOM CA",-50.85,
6/24/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-174.72,
6/24/2026,"SAFEWAY #1234 ROSEVILLE CA",-53.92,
6/25/2026,"CVS/PHARMACY #09812 FOLSOM CA",-21.83,
6/25/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-101.47,
6/26/2026,"DIRECT DEP ACME CORP PAYROLL",2450.00,
6/26/2026,"TRADER JOES #178 SACRAMENTO CA",-38.26,
6/26/2026,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA",-110.26,
6/27/2026,"TARGET 00021456 SACRAMENTO CA",-129.41,
6/27/2026,"CVS/PHARMACY #09812 FOLSOM CA",-15.21,
6/28/2026,"CVS/PHARMACY #09812 FOLSOM CA",-15.00,
6/28/2026,"DOORDASH*THAI BASIL 855-431-0459",-32.64,
6/29/2026,"SAFEWAY #1234 ROSEVILLE CA",-67.08,
6/30/2026,"CVS/PHARMACY #09812 FOLSOM CA",-24.95,
7/1/2026,"RENT PAYMENT PROPERTY MGMT LLC",-1850.00,
7/1/2026,"SQ *BLUE BOTTLE COFFEE SACRAMENTO CA",-7.31,
7/2/2026,"NETFLIX.COM 866-579-7172 CA",-22.99,
7/2/2026,"SAFEWAY #1234 ROSEVILLE CA",-76.78,
7/3/2026,"TARGET 00021456 SACRAMENTO CA",-111.83,
